,rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
2492,m/alien,Alien,"In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey home to investigate a distress call from an alien vessel. The terror begins when the crew encounters a nest of eggs inside the alien ship. An organism from inside an egg leaps out and attaches itself to one of the crew, causing him to fall into a coma.","A modern classic, Alien blends science fiction, horror and bleak poetry into a seamless whole.",R,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Ridley Scott,Dan O'Bannon,"Sigourney Weaver, Tom Skerritt, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm, Helen Horton, Yaphet Kotto, Bolaji Badejo, Lionel Newman",1979-05-25,2015-11-25,117.0,20th Century Fox,Certified-Fresh,98.0,125.0,Upright,94.0,459868.0,29,122,3
12407,m/remains_of_the_day,The Remains of the Day,"During the 1930s, James Stevens (Anthony Hopkins) serves as a proper English butler to the doltish Lord Darlington (James Fox). Stevens is so dedicated that he forgoes visiting his father on his deathbed in order to serve, and overlooks Darlington's Nazi sympathies and growing anti-Semitism. Twenty years after his employer's death, Stevens tries to reconnect with Miss Kenton (Emma Thompson), Darlington's head housekeeper, and begins to regret his loyalty to his former master.","Smart, elegant, and blessed with impeccable performances from Anthony Hopkins and Emma Thompson, The Remains of the Day is a Merchant-Ivory classic.",PG,"Drama, Romance",James Ivory,Ruth Prawer Jhabvala,"Anthony Hopkins, Emma Thompson, Christopher Reeve, James Fox, Peter Vaughan, Hugh Grant, Tim Pigott-Smith, Patrick Godfrey, Michael Lonsdale, John Haycraft, Caroline Hunt, Paula Jacobs, Ben Chaplin, Steve Dibben, Abigail Harrison, Peter Cellier, Peter Halliday, Terence Bayler, Jeffrey Wickham, Hugh Sweetman, Brigitte Kahn, John Savident, Tony Aitken, Emma Lewis, Joanna Joseph, Rupert Vansittart, Lena Headey, Paul Copley, Ian Redford, Jo Kendall, Steven Beard, Pip Torrens, Frank Shelley, Peter Eyre, Jestyn Phillips, Wolf Kahler, Frank Holtje, Andreas Tons, Roger McKern, Angela Newmarch",1993-11-05,2012-04-16,135.0,Sony Pictures Home Entertainment,Certified-Fresh,95.0,42.0,Upright,89.0,24343.0,10,40,2
10546,m/monsieur_verdoux,Monsieur Verdoux,"Monsieur Verdoux (Charles Chaplin) is a dapper Parisian family man who loses his job as a bank clerk. In order to support his wife and child, he devises a plan to woo and marry rich widows under a variety of aliases, then murder them for their money. His scheme works until his 14th victim, the loud-mouthed Annabella Bonheur (Martha Raye), proves impossible to kill, and he takes pity on a beautiful but down-on-her-luck prostitute whom he was going to test a poison on.","Charles Chaplin adds an undercurrent of malice to his comedic persona in Monsieur Verdoux, an unsettling satire that subverts the tramp's image to perversely amusing effect.",NR,"Classics, Comedy, Drama, Special Interest",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Martha Raye, Isobel Elsom, Mady Correll, Allison Roddan, Robert Lewis, Audrey Betz, Ada May, Marjorie Bennett, Margaret Hoffman, Marilyn Nash, Helene Heigh, Irving Bacon, Edwin Mills, Almira Sessions, Virginia Brissac, Bernard Nedell, Charles Evans, Eddie Mills, Arthur Hohl, John Harmon, Eula Morgan, Vera Marshe, William Frawley, Fritz Leiber, Barbara Slater, Fred Karno, Barry Norton, Edna Purviance, Pierre Watkin, Cyril Delevanti, Franklin Farnum, Charles Wagenheim, Addison Richards, James Craven, Franklyn Farnum, Herb Vigran, Boyd Irwin, Paul Newlan, Joseph Crehan, Wheaton Chambers, Frank Reicher, Warren Ashe",1947-04-11,2017-03-23,123.0,Criterion Collection,Fresh,97.0,34.0,Upright,88.0,5475.0,8,33,1
13011,m/secuestro_express,Secuestro Express,"Carla (Mia Maestro) and her boyfriend, Martin (Jean Paul Leroux), are out clubbing one night in downtown Caracas, Venezuela, when they are attacked and kidnapped. Their captors, Trece (Carlos Julio Molina), Niga (Carlos Madera) and Budu (Pedro Perez), demand $20,000 from Carla's father in just two hours, or they will kill them both. As her father struggles to get the money to them in time and Martin plots an escape, Carla tries to connect with her kidnappers emotionally to save her life.","Despite utilizing a visual whirlwind of cinematic tricks, this socio-political thriller falls short of fulfilling its heavier goals but provides a powerful peek into the class issues of modern Venezuela.",R,"Action & Adventure, Art House & International, Drama, Mystery & Suspense","Alain Jakubowicz, Jonathan Jakubowicz",Alain Jakubowicz,"Jean Paul Leroux, George Madera, Pedro Pérez, Mia Maestro, Carlos Julio Molina, Ruben Blades, Carlos Madera, Dalila Colombo, Edgar José Quijada, Elba Escobar, Dimas González, Adrian Blanco, Dawn Rider, Miguel Ángel Landa, Balmore Moreno, Aníbal Grum, Ermahn Ospina, Chile Veloz, Pantera, Jackson O'Neil Pérez, Andrea Tovar Meneses, Jesus, Michael Murciano, Israel ""El Gato"" Ibarra, John Francis, Paolo, Johán Godoy, Ladimar, Alberto Estrella, Eric Colón, Salomon Jakubowicz, Karina Sánchez, Eduardo Jakubowicz, Clara Jakubowicz, Víctor Ortíz",2005-08-05,2016-04-14,90.0,Miramax,Rotten,52.0,42.0,Upright,75.0,12604.0,14,22,20
15234,m/the_internets_own_boy_the_story_of_aaron_swartz,The Internet's Own Boy: The Story of Aaron Swartz,Filmmaker Brian Knappenberger explores the life and work of programming prodigy and information activist Aaron Swartz.,"Informative and enraging in equal measure, The Internet's Own Boy: The Story of Aaron Swartz uses its subject's tragic tale to deliver an impassioned call to action.",R,"Documentary, Special Interest",Brian Knappenberger,"Brian Knappenberger, Lincoln Else","Aaron Swartz, Cindy Cohn, Gabriella Coleman, Cory Doctorow, Peter Eckersley, Brewster Kahle, Orin Kerr, Lawrence Lessig, Rep. Zoe Lofgren, Carl Malamud, Quinn Norton, Tim O'Reilly, Elliot Peters, Alec Resnick, Doc Searls, Philip David Segal, Micah Sifry, Stephen Shultze, Christopher Soghoian, Taren Stinebrickner-Kauffman, Matt Stoller, Ben Swartz, Noah Swartz, Susan Swartz, Ben Wikler, Ronald Wyden",2014-06-27,2016-01-26,105.0,FilmBuff and Participant,Certified-Fresh,93.0,60.0,Upright,91.0,4238.0,23,56,4
10505,m/moebius_2013,Moebius,"A Korean woman (Eun-woo Lee), driven mad by her husband's (Eun-woo Lee) infidelity, castrates her son (Young Ju Seo).","Dark, depraved, and unforgettably sordid, Moebius leavens its perversity with originality and wit.",NR,Drama,Kim Ki-duk,Kim Ki-duk,"Jo Jae-hyeon, Jae Hyun Cho, Seo Young-joo, Eun-woo Lee, Young Ju Seo, Eun-woo Lee (II)",2014-08-01,2016-08-10,89.0,RAM Releasing,Certified-Fresh,79.0,43.0,Spilled,58.0,612.0,15,34,9
2221,m/a_star_is_born_2018,A Star Is Born,"Seasoned musician Jackson Maine discovers -- and falls in love with -- struggling artist Ally. She has just about given up on her dream to make it big as a singer until Jackson coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jackson fights an ongoing battle with his own internal demons.","With appealing leads, deft direction, and an affecting love story, A Star Is Born is a remake done right -- and a reminder that some stories can be just as effective in the retelling.",R,Drama,Bradley Cooper,"Will Fetters, Eric Roth, Bradley Cooper","Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay, Dave Chappelle, Rafi Gavron, Anthony Ramos, Alec Baldwin, Brandi Carlile, Ron Rifkin, Barry Shabaka Henley, Michael D. Roberts, Michael Harney, Rebecca Field, Marlon Williams",2018-10-05,2019-01-15,135.0,Warner Bros. Pictures,Certified-Fresh,90.0,517.0,Upright,79.0,20442.0,62,466,52
11167,m/north_country,North Country,"Single mother Josey Aimes (Charlize Theron) is part of a group of the first women to work at a local iron mine in Minnesota. Offended that they have to work with women, male workers at Eveleth Mines lash out at them and subject them to sexual harassment. Appalled by the constant stream of insults, sexually explicit language and physical abuse, Josey -- despite being cautioned against it by family and friends -- files a historic sexual harassment lawsuit.","Though sometimes melodramatic and formulaic, North Country is nonetheless a rousing, powerful story of courage and humanity.",R,Drama,Niki Caro,Michael Seitzman,"Charlize Theron, Elle Peterson, Thomas Curtis, Frances McDormand, Sean Bean, Woody Harrelson, Jeremy Renner, Richard Jenkins, Sissy Spacek, James Cada, Rusty Schwimmer, Linda Emond, Elizabeth Peterson, Michelle Monaghan, Jim Cada, Jillian Armenante, Elle Petersen, Amber Heard, John Aylward, Xander Berkeley, Marjorie Monaghan, Corey Stoll, Cole Williams, Brad William Henke, Bryan Fagerstrom, Chris Mulkey, Linda Edmond, Arron Shiver, Aaron Shiver, Clif Stokes, J.D. Garfield, Boots Southerland, John Hardman, Forrest Norgaard, Sage Coy, Mark Chait, Marcus Chait, Dennis E. Garber, Alex Layton, Jacqueline Wright, Catherine Campion, Tom Bower, David Lislegard, Kurt Peterson, Pete Pellinen, Bruce Bohne, Todd Anderson, Todd Robert Anderson, Kit Gwin, Monsignor Patrick McDowell, Raye Birk, Sally Wingert, Katherine Ferrand, Curtis Plagge, Marc Miles, J.C. Cutler, Gus Lynch, Mark Sivertsen, Rand Kennedy",2005-10-21,2013-03-18,126.0,Warner Bros. Pictures,Fresh,69.0,175.0,Upright,76.0,93141.0,42,121,54
4820,m/compliance_2012,Compliance,"A fast-food worker (Dreama Walker) who's accused of theft is put through the wringer as her boss (Ann Dowd), at the direction of a phone caller who says he's a cop, subjects her to increasingly harsh forms of interrogation.","Anchored by smart, sensitive direction and strong performances, Complicance is a ripped-from-the-headlines thriller that's equal parts gripping and disturbing.",R,"Drama, Mystery & Suspense, Special Interest",Craig Zobel,Craig Zobel,"Ann Dowd, Dreama Walker, Pat Healy, Bill Camp, Philip Ettinger, Ashlie Atkinson, James McCaffrey, Matt Servitto, Nikiya Mathis, Ralph Rodriguez, Stephen Payne, Amelia Fowler, John Merolla, Desmin Borges, Matt Skibiak, Maren McKee, Ray McAnally, George Asatrian, Rebecca Henderson, Jeffrey Grover",2012-08-17,2016-08-10,90.0,Magnolia Pictures,Certified-Fresh,89.0,143.0,Upright,60.0,13913.0,45,127,16
11756,m/persepolis,Persepolis,"Based on Satrapi's graphic novel about her life in pre and post-revolutionary Iran and then in Europe. The film traces Satrapi's growth from child to rebellious, punk-loving teenager in Iran. In the background are the growing tensions of the political climate in Iran in the 70s and 80s, with members of her liberal-leaning family detained and then executed, and the background of the disastrous Iran/Iraq war.","Persepolis is an emotionally powerful, dramatically enthralling autobiographical gem, and the film's simple black-and-white images are effective and bold.",PG-13,"Animation, Drama","Marjane Satrapi, Vincent Paronnaud","Vincent Paronnaud, Marjane Satrapi","Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux, Sean Penn, Simon Abkarian, Iggy Pop, François Jerosme, Sophie Arthuys, Arié Elmaleh, Jean-François Gallotte, Gabrielle Lopes, Mathias Mlekuz, Sacha Alliel, Virginie Antico, Benedicte Battesti, Hubert Benhamdine, Ninon Bretecher, Lesceline Haase, Nicolas Leroy, Marc Jousset, Candide Lopes, Tilly Mandelbrot, Jean-Christophe Menu, Jean-Philippe Callet, Idit Cebula, Carlos Chahine, Eric Chevallier, Isabelle Chipot, Jean-Marc Couderc, Fanny Dalle-Rive, Fanny Daurat, Anne Deleuze, Gilles Duval, Stephanie Foenkinds, Marie Gili-Pierre, François Girard, Celine Merrien, Charlotte Miguel, Farida Ouchani, Vincent Paronnaud, Françoise Pavy, Manu Payet, Xavier Rigault, Gaspard Robert, Marc-Antoine Robert, Stéphane Roche, Marjane Satrapi, Théo Sampaio, Denis Walgenwitz",2007-12-25,2013-04-02,95.0,Sony Pictures Classics,Certified-Fresh,96.0,161.0,Upright,92.0,50422.0,48,154,7
